record_id_a,record_id_b,match_score,match_type,matched_fields
MBR_100070,XPL_100072,0.57,probabilistic,email_domain_fuzzy|phone_exact|society_exact
MBR_100070,SEC_100073,0.99,deterministic,member_number_exact|name_exact|phone_exact|society_exact
SOC_100071,XPL_100072,0.59,probabilistic,name_exact|society_exact
SOC_100071,SEC_100073,0.89,deterministic,member_number_exact|email_domain_fuzzy|society_exact
XPL_100072,SEC_100073,0.52,probabilistic,phone_exact|society_exact
MBR_100074,CONF_100075,0.55,probabilistic,name_exact
MBR_100077,SOC_100078,0.96,deterministic,member_number_exact|phone_exact|society_exact
MBR_100079,SOC_100080,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy
MBR_100079,SEC_100081,0.93,deterministic,member_number_exact|address_fuzzy|society_exact
SOC_100080,SEC_100081,0.94,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy
MBR_100082,CONF_100083,0.96,deterministic,member_number_exact|phone_exact|society_exact
MBR_100082,SOC_100084,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
CONF_100083,SOC_100084,0.91,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100086,SOC_100087,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100086,SEC_100088,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100086,CONF_100089,0.68,probabilistic,name_exact|phone_exact|society_exact
SOC_100087,SEC_100088,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
SOC_100087,CONF_100089,0.72,probabilistic,name_exact|phone_exact|address_fuzzy|society_exact
SEC_100088,CONF_100089,0.66,probabilistic,name_exact|phone_exact|society_exact
MBR_100090,SEC_100091,0.83,deterministic,member_number_exact
MBR_100092,SEC_100093,0.99,deterministic,member_number_exact|email_exact|name_exact|phone_exact|society_exact
MBR_100094,CONF_100095,0.66,probabilistic,name_exact|address_fuzzy|society_exact
MBR_100096,SOC_100097,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100096,XPL_100098,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100096,SEC_100099,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|phone_exact|address_fuzzy|society_exact
SOC_100097,XPL_100098,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
SOC_100097,SEC_100099,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|address_fuzzy|society_exact
XPL_100098,SEC_100099,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|address_fuzzy|society_exact
MBR_100100,SOC_100101,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100103,XPL_100104,0.54,probabilistic,email_domain_fuzzy|address_fuzzy|society_exact
MBR_100103,CONF_100105,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy
MBR_100103,SEC_100106,0.99,deterministic,member_number_exact|email_exact|address_fuzzy|society_exact
XPL_100104,CONF_100105,0.67,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy
XPL_100104,SEC_100106,0.71,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy|society_exact
CONF_100105,SEC_100106,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy
MBR_100107,XPL_100108,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy
MBR_100107,CONF_100109,0.99,deterministic,member_number_exact|name_fuzzy|address_fuzzy
XPL_100108,CONF_100109,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100110,SEC_100111,0.92,deterministic,member_number_exact|name_fuzzy|address_fuzzy
MBR_100110,SOC_100112,0.99,deterministic,member_number_exact|email_exact|name_exact|phone_exact|address_fuzzy|society_exact
SEC_100111,SOC_100112,0.97,deterministic,member_number_exact|name_fuzzy|address_fuzzy
MBR_100113,SOC_100114,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100116,SOC_100117,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100118,SEC_100119,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100120,SOC_100121,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
MBR_100120,XPL_100122,0.8,probabilistic,email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
SOC_100121,XPL_100122,0.7,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100123,SEC_100124,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100123,SOC_100125,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
SEC_100124,SOC_100125,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100126,SEC_100127,0.99,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
MBR_100126,SOC_100128,0.83,deterministic,member_number_exact|society_exact
SEC_100127,SOC_100128,0.87,deterministic,member_number_exact|society_exact
MBR_100129,XPL_100130,0.68,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy
MBR_100132,XPL_100133,0.51,probabilistic,email_domain_fuzzy|address_fuzzy|society_exact
MBR_100132,SEC_100134,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100132,SOC_100135,0.98,deterministic,member_number_exact|name_fuzzy|address_fuzzy|society_exact
XPL_100133,SEC_100134,0.53,probabilistic,address_fuzzy|society_exact
XPL_100133,SOC_100135,0.7,probabilistic,name_fuzzy|phone_exact|address_fuzzy|society_exact
SEC_100134,SOC_100135,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|address_fuzzy|society_exact
MBR_100136,SOC_100137,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100136,SEC_100138,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
SOC_100137,SEC_100138,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
MBR_100140,SOC_100141,0.93,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100140,XPL_100142,0.97,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
MBR_100140,CONF_100143,0.61,probabilistic,phone_exact|address_fuzzy|society_exact
SOC_100141,XPL_100142,0.94,deterministic,member_number_exact|address_fuzzy|society_exact
SOC_100141,CONF_100143,0.64,probabilistic,name_exact|address_fuzzy|society_exact
XPL_100142,CONF_100143,0.5,probabilistic,address_fuzzy|society_exact
MBR_100144,SOC_100145,0.87,deterministic,member_number_exact|address_fuzzy
MBR_100146,CONF_100147,0.52,probabilistic,address_fuzzy|society_exact
MBR_100146,SEC_100148,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
CONF_100147,SEC_100148,0.51,probabilistic,address_fuzzy|society_exact
MBR_100149,SEC_100150,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100151,XPL_100152,0.99,deterministic,member_number_exact|email_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100151,SEC_100153,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100151,CONF_100154,0.99,deterministic,member_number_exact|name_exact|society_exact
XPL_100152,SEC_100153,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
XPL_100152,CONF_100154,0.99,deterministic,member_number_exact|name_exact|society_exact
SEC_100153,CONF_100154,0.99,deterministic,member_number_exact|name_exact|society_exact
MBR_100155,CONF_100156,0.72,probabilistic,name_exact|phone_exact|address_fuzzy
MBR_100155,SEC_100157,0.99,deterministic,member_number_exact|email_exact|name_exact|phone_exact|address_fuzzy
CONF_100156,SEC_100157,0.7,probabilistic,name_exact|phone_exact|society_exact
MBR_100158,SEC_100159,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100158,CONF_100160,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100158,XPL_100161,0.96,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
SEC_100159,CONF_100160,0.95,deterministic,member_number_exact|address_fuzzy|society_exact
SEC_100159,XPL_100161,0.98,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
CONF_100160,XPL_100161,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100163,SEC_100164,0.84,deterministic,member_number_exact
MBR_100165,CONF_100166,0.54,probabilistic,email_domain_fuzzy|address_fuzzy|society_exact
MBR_100165,XPL_100167,0.99,deterministic,member_number_exact|email_exact|phone_exact|society_exact
CONF_100166,XPL_100167,0.63,probabilistic,email_domain_fuzzy|name_exact|society_exact
MBR_100168,SEC_100169,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|address_fuzzy|society_exact
MBR_100170,XPL_100171,0.72,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100172,SEC_100173,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100172,SOC_100174,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100172,XPL_100175,0.97,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
SEC_100173,SOC_100174,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
SEC_100173,XPL_100175,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
SOC_100174,XPL_100175,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100176,CONF_100177,0.42,probabilistic,society_exact
MBR_100176,SEC_100178,0.86,deterministic,member_number_exact|society_exact
MBR_100176,SOC_100179,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|society_exact
CONF_100177,SEC_100178,0.6,probabilistic,phone_exact|address_fuzzy|society_exact
CONF_100177,SOC_100179,0.61,probabilistic,phone_exact|address_fuzzy|society_exact
SEC_100178,SOC_100179,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100180,SEC_100181,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100182,XPL_100183,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy
MBR_100182,SOC_100184,0.99,deterministic,member_number_exact|name_exact|address_fuzzy
MBR_100182,CONF_100185,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy
XPL_100183,SOC_100184,0.99,deterministic,member_number_exact|name_exact|address_fuzzy
XPL_100183,CONF_100185,0.99,deterministic,member_number_exact|name_exact|address_fuzzy
SOC_100184,CONF_100185,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100186,XPL_100187,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100186,SOC_100188,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
XPL_100187,SOC_100188,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100189,SOC_100190,0.99,deterministic,member_number_exact|name_exact|phone_exact
MBR_100191,SOC_100192,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100191,SEC_100193,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100191,XPL_100194,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
SOC_100192,SEC_100193,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
SOC_100192,XPL_100194,0.99,deterministic,member_number_exact|email_exact|address_fuzzy|society_exact
SEC_100193,XPL_100194,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100195,SEC_100196,0.87,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100197,CONF_100198,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100200,SEC_100201,0.89,deterministic,member_number_exact|email_domain_fuzzy|society_exact
MBR_100200,XPL_100202,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100200,CONF_100203,0.51,probabilistic,address_fuzzy|society_exact
SEC_100201,XPL_100202,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|society_exact
SEC_100201,CONF_100203,0.67,probabilistic,name_exact|phone_exact|society_exact
XPL_100202,CONF_100203,0.63,probabilistic,phone_exact|address_fuzzy|society_exact
MBR_100205,CONF_100206,0.73,probabilistic,name_exact|phone_exact|address_fuzzy|society_exact
MBR_100205,SOC_100207,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
CONF_100206,SOC_100207,0.73,probabilistic,name_exact|phone_exact|address_fuzzy|society_exact
MBR_100208,CONF_100209,0.63,probabilistic,name_exact|address_fuzzy
MBR_100210,XPL_100211,0.73,probabilistic,email_domain_fuzzy|name_exact|phone_exact|society_exact
MBR_100210,SEC_100212,0.98,deterministic,member_number_exact|name_exact|society_exact
XPL_100211,SEC_100212,0.57,probabilistic,name_exact|society_exact
MBR_100213,XPL_100214,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100213,SEC_100215,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
XPL_100214,SEC_100215,0.97,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100216,SOC_100217,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100218,SOC_100219,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100223,SEC_100224,0.99,deterministic,member_number_exact|email_exact|society_exact
MBR_100225,SEC_100226,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
MBR_100229,XPL_100230,0.81,probabilistic,email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100229,SOC_100231,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
MBR_100229,SEC_100232,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
XPL_100230,SOC_100231,0.68,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy|society_exact
XPL_100230,SEC_100232,0.68,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy|society_exact
SOC_100231,SEC_100232,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100233,XPL_100234,0.76,probabilistic,email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
MBR_100233,CONF_100235,0.54,probabilistic,name_exact
XPL_100234,CONF_100235,0.54,probabilistic,name_exact
MBR_100236,SEC_100237,0.87,deterministic,member_number_exact|address_fuzzy
MBR_100236,XPL_100238,0.53,probabilistic,email_domain_fuzzy|address_fuzzy
MBR_100236,SOC_100239,0.9,deterministic,member_number_exact|address_fuzzy
SEC_100237,XPL_100238,0.67,probabilistic,name_fuzzy|phone_exact|address_fuzzy|society_exact
SEC_100237,SOC_100239,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
XPL_100238,SOC_100239,0.67,probabilistic,name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100240,XPL_100241,0.7,probabilistic,email_exact|address_fuzzy|society_exact
MBR_100242,CONF_100243,0.99,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100244,SOC_100245,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100247,SOC_100248,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
MBR_100247,SEC_100249,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
SOC_100248,SEC_100249,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100250,SOC_100251,0.96,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
MBR_100252,SOC_100253,0.85,deterministic,member_number_exact|society_exact
MBR_100255,CONF_100256,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|society_exact
MBR_100255,SOC_100257,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100255,SEC_100258,0.96,deterministic,member_number_exact|phone_exact|society_exact
CONF_100256,SOC_100257,0.99,deterministic,member_number_exact|name_exact|phone_exact|society_exact
CONF_100256,SEC_100258,0.96,deterministic,member_number_exact|phone_exact|society_exact
SOC_100257,SEC_100258,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|society_exact
MBR_100259,SEC_100260,0.81,deterministic,member_number_exact
MBR_100259,SOC_100261,0.85,deterministic,member_number_exact|society_exact
MBR_100259,XPL_100262,0.9,deterministic,member_number_exact|email_domain_fuzzy|society_exact
SEC_100260,SOC_100261,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
SEC_100260,XPL_100262,0.95,deterministic,member_number_exact|phone_exact|address_fuzzy
SOC_100261,XPL_100262,0.98,deterministic,member_number_exact|phone_exact|address_fuzzy|society_exact
MBR_100263,CONF_100264,0.86,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100263,SOC_100265,0.9,deterministic,member_number_exact|address_fuzzy|society_exact
CONF_100264,SOC_100265,0.93,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100266,XPL_100267,0.62,probabilistic,email_domain_fuzzy|name_exact
MBR_100266,CONF_100268,0.48,probabilistic,email_domain_fuzzy|society_exact
XPL_100267,CONF_100268,0.7,probabilistic,email_exact|phone_exact
MBR_100269,SEC_100270,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy
MBR_100271,SEC_100272,0.99,deterministic,member_number_exact|name_exact|society_exact
MBR_100273,XPL_100274,0.54,probabilistic,email_domain_fuzzy|address_fuzzy
MBR_100273,SOC_100275,0.91,deterministic,member_number_exact|address_fuzzy|society_exact
XPL_100274,SOC_100275,0.64,probabilistic,name_exact|address_fuzzy
MBR_100276,CONF_100277,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100276,SOC_100278,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
CONF_100277,SOC_100278,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100279,XPL_100280,0.99,deterministic,member_number_exact|email_exact|name_exact|society_exact
MBR_100279,CONF_100281,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100279,SOC_100282,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
XPL_100280,CONF_100281,0.99,deterministic,member_number_exact|name_exact|phone_exact|society_exact
XPL_100280,SOC_100282,0.99,deterministic,member_number_exact|name_exact|phone_exact|society_exact
CONF_100281,SOC_100282,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100283,SOC_100284,0.99,deterministic,member_number_exact|email_exact|address_fuzzy|society_exact
MBR_100283,XPL_100285,0.55,probabilistic,email_domain_fuzzy|address_fuzzy
SOC_100284,XPL_100285,0.77,probabilistic,email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
MBR_100286,SOC_100287,0.99,deterministic,member_number_exact|email_exact|phone_exact|address_fuzzy
MBR_100286,CONF_100288,0.6,probabilistic,name_exact|address_fuzzy|society_exact
MBR_100286,SEC_100289,0.99,deterministic,member_number_exact|email_exact|name_exact|phone_exact|address_fuzzy|society_exact
SOC_100287,CONF_100288,0.47,probabilistic,address_fuzzy
SOC_100287,SEC_100289,0.99,deterministic,member_number_exact|email_exact|phone_exact|address_fuzzy
CONF_100288,SEC_100289,0.66,probabilistic,name_exact|address_fuzzy|society_exact
MBR_100291,SEC_100292,0.99,deterministic,member_number_exact|email_exact|name_exact|phone_exact
MBR_100291,SOC_100293,0.98,deterministic,member_number_exact|phone_exact|address_fuzzy
SEC_100292,SOC_100293,0.97,deterministic,member_number_exact|phone_exact|address_fuzzy
MBR_100294,CONF_100295,0.86,deterministic,member_number_exact|society_exact
MBR_100294,SOC_100296,0.87,deterministic,member_number_exact|society_exact
CONF_100295,SOC_100296,0.99,deterministic,member_number_exact|name_exact|phone_exact|society_exact
MBR_100298,SOC_100299,0.99,deterministic,member_number_exact|name_exact|society_exact
MBR_100298,SEC_100300,0.99,deterministic,member_number_exact|name_exact|society_exact
MBR_100298,CONF_100301,0.98,deterministic,member_number_exact|name_exact|society_exact
SOC_100299,SEC_100300,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
